window_start,duration_ms,event_count,dominant_path,http_summary,inferred_challenge,verdict
2026-04-20T22:22:03,0,2,/health,200×1 401×1,health-latency,UNKNOWN
2026-04-20T22:22:03.607000,18,2,/health,200×1 401×1,health-latency,UNKNOWN
2026-04-20T22:22:08,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:22:08.545000,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:22:14,379,4,/api/v1/auth/login,200×2 401×2,unknown,UNKNOWN
2026-04-20T22:22:19,369,2,/api/v1/auth/login,200×2,unknown,PASS
2026-04-20T22:22:23,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:22:23.852000,0,1,/api/v1/auth/login,200×1,unknown,PASS
2026-04-20T22:22:29,0,2,/api/v1/auth/login,200×1 404×1,unknown,UNKNOWN
2026-04-20T22:22:29.778000,114,2,/api/v1/auth/login,200×1 404×1,unknown,UNKNOWN
2026-04-20T22:22:34,213,2,/api/v1/challenges/list,404×2,unknown,UNKNOWN
2026-04-20T22:22:59,0,1,/api/v1/challenges,200×1,unknown,PASS
2026-04-20T22:22:59.542000,0,1,/api/v1/challenges,200×1,unknown,PASS
2026-04-20T22:23:15,279,2,/api/v1/challenges/run,400×2,unknown,UNKNOWN
2026-04-20T22:24:32,105,8,/health,200×8,health-latency,PASS
2026-04-20T22:24:52,1428,10,/api/v1/storage/roots,200×8 201×2,health-latency,PASS
2026-04-20T22:27:26,0,3,/discovery,200×3,unknown,PASS
2026-04-20T22:27:42,0,3,/discovery,200×3,unknown,PASS
2026-04-20T22:30:57,0,1,/health,200×1,health-latency,PASS
2026-04-20T22:30:57.932000,0,1,/health,200×1,health-latency,PASS
2026-04-20T22:31:37,0,2,/health,200×2,health-latency,PASS
2026-04-20T22:31:37.767000,244,18,/api/v1/auth/login,200×8 401×6 403×2 404×2,health-latency,UNKNOWN
2026-04-20T22:31:38.524000,3912,62,/api/v1/auth/login,200×46 401×4 403×4 404×8,health-latency,UNKNOWN
2026-04-20T22:31:43,114,6,/api/v1/auth/login,200×3 403×3,admin-access-control,UNKNOWN
2026-04-20T22:31:43.634000,2239,32,/api/v1/auth/login,200×19 403×1 404×12,health-latency,UNKNOWN
2026-04-20T22:31:47,0,1,/api/v1/stats/overall,200×1,unknown,PASS
2026-04-20T22:31:47.546000,1079,163,/health,200×137 401×10 404×4 429×12,ddos-ratelimit / auth-brute,UNKNOWN
2026-04-20T22:31:53,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:31:53.627000,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:32:03,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:32:03.628000,0,1,/api/v1/auth/login,429×1,ddos-ratelimit / auth-brute,PASS (expected 429s)
2026-04-20T22:32:23,0,360,/health,200×228 204×3 400×3 401×7 404×6 429×113,ddos-ratelimit / auth-brute,UNKNOWN
2026-04-20T22:32:23.633000,621,287,/api/v1/auth/login,200×90 204×1 400×1 401×13 404×3 429×179,ddos-ratelimit / auth-brute,UNKNOWN
2026-04-20T22:33:51,428,20,/health,200×16 401×4,health-latency,UNKNOWN
2026-04-20T22:33:52,337,6,/api/v1/auth/login,200×6,health-latency,PASS
2026-04-20T22:33:53,484,6,/api/v1/media/search?query=&limit=10,200×6,unknown,PASS
2026-04-20T22:33:55,486,2,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×2,unknown,PASS
2026-04-20T22:33:57,490,2,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×2,unknown,PASS
2026-04-20T22:33:59,500,2,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×2,unknown,PASS
2026-04-20T22:34:01,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:01.505000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:03,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:03.508000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:05,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:05.511000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:07,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:07.512000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:09,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:09.516000,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
2026-04-20T22:34:11,0,1,/api/v1/assets/d392e64a-4e4a-4ac0-b546-b4fd47983d54,200×1,unknown,PASS
